No.,Visible,Ref. Code,Compound Name,Chemical Formula,Score,SemiQuant [%],Cell,Display Color,Database ID,Subfiles
93,FALSE,00-001-1184,Sodium Fluoride,Na F,-,-,a 4.62000 - b 4.62000 - c 4.62000,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
94,FALSE,00-001-1190,Platinum,Pt,-,-,a 3.91200 - b 3.91200 - c 3.91200,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
95,FALSE,00-001-1194,Platinum,Pt,-,-,a 3.91610 - b 3.91610 - c 3.91610,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
96,FALSE,00-001-1201,Palladium,Pd,-,-,a 3.88238 - b 3.88238 - c 3.88238,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
97,FALSE,00-001-1202,Manganese Nitride,Mn4 N,-,-,a 3.84600 - b 3.84600 - c 3.84600,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
98,FALSE,00-001-1203,Tungsten,W,-,-,a 3.15500 - b 3.15500 - c 3.15500,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
99,FALSE,00-001-1204,Tungsten,W,-,-,a 3.15890 - b 3.15890 - c 3.15890,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
100,FALSE,00-001-1205,Molybdenum,Mo,-,-,a 3.14400 - b 3.14400 - c 3.14400,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
101,FALSE,00-001-1206,Manganese Oxide,Mn +2 O,-,-,a 4.43600 - b 4.43600 - c 4.43600,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic, Mineral"
102,FALSE,00-001-1207,Molybdenum,Mo,-,-,a 3.14000 - b 3.14000 - c 3.14000,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
103,FALSE,00-001-1208,Molybdenum,Mo,-,-,a 3.14300 - b 3.14300 - c 3.14300,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
104,FALSE,00-001-1212,Iridium,Ir,-,-,a 3.83120 - b 3.83120 - c 3.83120,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
105,FALSE,00-001-1213,Rhodium,Rh,-,-,a 3.79559 - b 3.79559 - c 3.79559,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
106,FALSE,00-001-1214,Rhodium,Rh,-,-,a 3.82000 - b 3.82000 - c 3.82000,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
107,FALSE,00-001-1216,Iridium,Ir,-,-,a 3.80500 - b 3.80500 - c 3.80500,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
108,FALSE,00-001-1219,Iron Nitride,Fe4 N,-,-,a 3.78900 - b 3.78900 - c 3.78900,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
109,FALSE,00-001-1223,Iron Oxide,Fe O,-,-,a 4.29000 - b 4.29000 - c 4.29000,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
110,FALSE,00-001-1224,Vanadium,V,-,-,a 3.04000 - b 3.04000 - c 3.04000,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
111,FALSE,00-001-1227,Cobalt Oxide,Co O,-,-,a 4.24000 - b 4.24000 - c 4.24000,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
112,FALSE,00-001-1230,Sodium Bromide,Na Br,-,-,a 2.96800 - b 2.96800 - c 2.96800,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
113,FALSE,00-001-1235,Magnesium Oxide,Mg O,-,-,a 4.20300 - b 4.20300 - c 4.20300,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic, Mineral, Pharmaceutical"
114,FALSE,00-001-1239,Nickel Oxide,Ni O,-,-,a 4.17100 - b 4.17100 - c 4.17100,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic, Mineral"
115,FALSE,00-001-1241,Copper,Cu,-,-,a 3.60770 - b 3.60770 - c 3.60770,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
